t,theta,omega,x,y
0.0000000000,0.1945432534,-0.1448565660,0.1933184246,-0.9811360694
0.0000000000,0.1943974489,-0.1467523196,0.1931753684,-0.9811642457
0.0000000000,0.1942497493,-0.1486466606,0.1930304488,-0.9811927669
0.0000000000,0.1941001560,-0.1505395709,0.1928836668,-0.9812216320
0.0000000000,0.1939486706,-0.1524310321,0.1927350238,-0.9812508398
0.0000000000,0.1937952944,-0.1543210260,0.1925845211,-0.9812803892
0.0000000000,0.1936400290,-0.1562095343,0.1924321598,-0.9813102791
0.0000000000,0.1934828759,-0.1580965389,0.1922779415,-0.9813405083
0.0000000000,0.1933238365,-0.1599820214,0.1921218672,-0.9813710757
0.0000000000,0.1931629123,-0.1618659638,0.1919639384,-0.9814019800
0.0000000000,0.1930001051,-0.1637483478,0.1918041565,-0.9814332201
0.0000000000,0.1928354162,-0.1656291553,0.1916425228,-0.9814647948
0.0000000000,0.1926688473,-0.1675083681,0.1914790386,-0.9814967029
0.0000000000,0.1925004000,-0.1693859680,0.1913137054,-0.9815289431
0.0000000000,0.1923300759,-0.1712619369,0.1911465246,-0.9815615142
0.0000000000,0.1921578767,-0.1731362568,0.1909774976,-0.9815944149
0.0000000000,0.1919838039,-0.1750089094,0.1908066259,-0.9816276440
0.0000000000,0.1918078594,-0.1768798768,0.1906339110,-0.9816612002
0.0000000000,0.1916300447,-0.1787491407,0.1904593542,-0.9816950822
0.0000000000,0.1914503617,-0.1806166833,0.1902829572,-0.9817292887
0.0000000000,0.1912688120,-0.1824824863,0.1901047213,-0.9817638183
0.0000000000,0.1910853973,-0.1843465319,0.1899246483,-0.9817986698
0.0000000000,0.1909001195,-0.1862088019,0.1897427395,-0.9818338418
0.0000000000,0.1907129803,-0.1880692784,0.1895589966,-0.9818693329
0.0000000000,0.1905239815,-0.1899279435,0.1893734211,-0.9819051417
0.0000000000,0.1903331250,-0.1917847790,0.1891860147,-0.9819412670
0.0000000000,0.1901404126,-0.1936397671,0.1889967789,-0.9819777073
0.0000000000,0.1899458461,-0.1954928898,0.1888057153,-0.9820144611
0.0000000000,0.1897494274,-0.1973441292,0.1886128257,-0.9820515271
0.0000000000,0.1895511585,-0.1991934675,0.1884181117,-0.9820889039
0.0000000000,0.1893510411,-0.2010408866,0.1882215749,-0.9821265900
0.0000000000,0.1891490774,-0.2028863688,0.1880232171,-0.9821645839
0.0000000000,0.1889452691,-0.2047298962,0.1878230399,-0.9822028842
0.0000000000,0.1887396182,-0.2065714509,0.1876210451,-0.9822414894
0.0000000000,0.1885321268,-0.2084110152,0.1874172344,-0.9822803980
0.0000000000,0.1883227969,-0.2102485711,0.1872116095,-0.9823196085
0.0000000000,0.1881116304,-0.2120841010,0.1870041724,-0.9823591194
0.0000000000,0.1878986293,-0.2139175871,0.1867949246,-0.9823989292
0.0000000000,0.1876837959,-0.2157490115,0.1865838681,-0.9824390364
0.0000000000,0.1874671320,-0.2175783567,0.1863710047,-0.9824794393
0.0000000000,0.1872486399,-0.2194056047,0.1861563362,-0.9825201364
0.0000000000,0.1870283215,-0.2212307381,0.1859398645,-0.9825611262
0.0000000000,0.1868061791,-0.2230537390,0.1857215914,-0.9826024071
0.0000000000,0.1865822147,-0.2248745898,0.1855015189,-0.9826439775
0.0000000000,0.1863564306,-0.2266932729,0.1852796487,-0.9826858357
0.0000000000,0.1861288289,-0.2285097707,0.1850559830,-0.9827279803
0.0000000000,0.1858994118,-0.2303240654,0.1848305235,-0.9827704094
0.0000000000,0.1856681815,-0.2321361397,0.1846032723,-0.9828131215
0.0000000000,0.1854351403,-0.2339459758,0.1843742313,-0.9828561150
0.0000000000,0.1852002903,-0.2357535562,0.1841434025,-0.9828993882
0.0000000000,0.1849636339,-0.2375588635,0.1839107879,-0.9829429394
0.0000000000,0.1847251734,-0.2393618801,0.1836763895,-0.9829867669
0.0000000000,0.1844849109,-0.2411625884,0.1834402094,-0.9830308691
0.0000000000,0.1842428490,-0.2429609712,0.1832022497,-0.9830752442
0.0000000000,0.1839989898,-0.2447570108,0.1829625123,-0.9831198905
0.0000000000,0.1837533357,-0.2465506898,0.1827209994,-0.9831648063
