mode,theta0,period,steps,cpu_time,avg_dt,max_error,period_error,real_time
fixed_1e-04,21.89,1.82206986,200000,0.013470,0.000100,0.211850,0.183997,yes
adaptive,21.89,1.82206513,255,0.000047,0.078978,0.209955,0.184002,yes
analytic,21.90,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.90,1.82208519,2007,0.000145,0.010000,0.212129,0.183981,yes
fixed_1e-03,21.90,1.82208517,20061,0.001425,0.001000,0.212136,0.183982,yes
fixed_1e-04,21.90,1.82208517,200000,0.013461,0.000100,0.212136,0.183982,yes
adaptive,21.90,1.82208112,255,0.000046,0.078972,0.210380,0.183986,yes
analytic,21.91,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.91,1.82210051,2007,0.000145,0.010000,0.212415,0.183966,yes
fixed_1e-03,21.91,1.82210048,20061,0.001394,0.001000,0.212422,0.183966,yes
fixed_1e-04,21.91,1.82210048,200000,0.013486,0.000100,0.212422,0.183966,yes
adaptive,21.91,1.82209716,255,0.000047,0.078965,0.210803,0.183970,yes
analytic,21.92,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.92,1.82211583,2007,0.000145,0.010000,0.212702,0.183951,yes
fixed_1e-03,21.92,1.82211581,20061,0.001431,0.001000,0.212709,0.183951,yes
fixed_1e-04,21.92,1.82211581,200000,0.013466,0.000100,0.212709,0.183951,yes
adaptive,21.92,1.82211326,256,0.000047,0.078615,0.211790,0.183953,yes
analytic,21.93,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.93,1.82213117,2007,0.000145,0.010000,0.212988,0.183936,yes
fixed_1e-03,21.93,1.82213114,20061,0.001402,0.001000,0.212996,0.183936,yes
fixed_1e-04,21.93,1.82213114,200000,0.013492,0.000100,0.212996,0.183936,yes
adaptive,21.93,1.82212942,256,0.000047,0.078607,0.212188,0.183937,yes
analytic,21.94,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.94,1.82214650,2007,0.000145,0.010000,0.213275,0.183920,yes
fixed_1e-03,21.94,1.82214647,20061,0.001406,0.001000,0.213284,0.183920,yes
fixed_1e-04,21.94,1.82214647,200000,0.013465,0.000100,0.213284,0.183920,yes
adaptive,21.94,1.82214562,256,0.000043,0.078601,0.212569,0.183921,yes
analytic,21.95,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.95,1.82216185,2007,0.000135,0.010000,0.213562,0.183905,yes
fixed_1e-03,21.95,1.82216182,20061,0.001348,0.001000,0.213571,0.183905,yes
fixed_1e-04,21.95,1.82216182,200000,0.013455,0.000100,0.213571,0.183905,yes
adaptive,21.95,1.82216188,256,0.000047,0.078594,0.212950,0.183905,yes
analytic,21.96,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.96,1.82217720,2007,0.000145,0.010000,0.213849,0.183889,yes
fixed_1e-03,21.96,1.82217717,20061,0.001413,0.001000,0.213859,0.183890,yes
fixed_1e-04,21.96,1.82217717,200000,0.013511,0.000100,0.213859,0.183890,yes
adaptive,21.96,1.82217851,256,0.000043,0.078586,0.213336,0.183888,yes
analytic,21.97,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.97,1.82219256,2007,0.000135,0.010000,0.214137,0.183874,yes
fixed_1e-03,21.97,1.82219252,20061,0.001349,0.001000,0.214147,0.183874,yes
fixed_1e-04,21.97,1.82219252,200000,0.013472,0.000100,0.214147,0.183874,yes
adaptive,21.97,1.82219497,257,0.000047,0.078236,0.214024,0.183872,yes
analytic,21.98,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.98,1.82220793,2007,0.000145,0.010000,0.214425,0.183859,yes
fixed_1e-03,21.98,1.82220789,20061,0.001419,0.001000,0.214435,0.183859,yes
fixed_1e-04,21.98,1.82220789,200000,0.013462,0.000100,0.214435,0.183859,yes
adaptive,21.98,1.82221146,257,0.000047,0.078229,0.214358,0.183855,yes
analytic,21.99,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,21.99,1.82222330,2007,0.000144,0.010000,0.214713,0.183843,yes
fixed_1e-03,21.99,1.82222326,20061,0.001403,0.001000,0.214724,0.183843,yes
fixed_1e-04,21.99,1.82222326,200000,0.013466,0.000100,0.214724,0.183843,yes
adaptive,21.99,1.82222798,257,0.000047,0.078223,0.214683,0.183839,yes
analytic,22.00,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.00,1.82223868,2007,0.000144,0.010000,0.215001,0.183828,yes
fixed_1e-03,22.00,1.82223864,20061,0.001422,0.001000,0.215012,0.183828,yes
fixed_1e-04,22.00,1.82223864,200000,0.013491,0.000100,0.215013,0.183828,yes
adaptive,22.00,1.82224444,257,0.000047,0.078217,0.215002,0.183822,yes
analytic,22.01,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.01,1.82225407,2007,0.000145,0.010000,0.215289,0.183813,yes
fixed_1e-03,22.01,1.82225403,20061,0.001387,0.001000,0.215301,0.183813,yes
fixed_1e-04,22.01,1.82225403,200000,0.013468,0.000100,0.215302,0.183813,yes
adaptive,22.01,1.82226083,257,0.000047,0.078208,0.215322,0.183806,yes
analytic,22.02,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.02,1.82226946,2007,0.000145,0.010000,0.215578,0.183797,yes
fixed_1e-03,22.02,1.82226942,20061,0.001392,0.001000,0.215591,0.183797,yes
fixed_1e-04,22.02,1.82226942,200000,0.013487,0.000100,0.215591,0.183797,yes
adaptive,22.02,1.82227717,258,0.000047,0.077864,0.215608,0.183790,yes
analytic,22.03,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.03,1.82228487,2007,0.000145,0.010000,0.215867,0.183782,yes
fixed_1e-03,22.03,1.82228483,20061,0.001429,0.001000,0.215880,0.183782,yes
fixed_1e-04,22.03,1.82228483,200000,0.013509,0.000100,0.215880,0.183782,yes
adaptive,22.03,1.82229345,258,0.000047,0.077858,0.215875,0.183773,yes
analytic,22.04,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.04,1.82230028,2007,0.000145,0.010000,0.216156,0.183766,yes
fixed_1e-03,22.04,1.82230024,20061,0.001394,0.001000,0.216170,0.183766,yes
fixed_1e-04,22.04,1.82230024,200000,0.013460,0.000100,0.216170,0.183766,yes
adaptive,22.04,1.82230968,258,0.000047,0.077853,0.216138,0.183757,yes
analytic,22.05,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.05,1.82231569,2007,0.000145,0.010000,0.216445,0.183751,yes
fixed_1e-03,22.05,1.82231565,20061,0.001432,0.001000,0.216460,0.183751,yes
fixed_1e-04,22.05,1.82231565,200000,0.013492,0.000100,0.216460,0.183751,yes
adaptive,22.05,1.82232586,258,0.000047,0.077847,0.216397,0.183741,yes
analytic,22.06,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.06,1.82233112,2007,0.000145,0.010000,0.216735,0.183736,yes
fixed_1e-03,22.06,1.82233107,20061,0.001398,0.001000,0.216751,0.183736,yes
fixed_1e-04,22.06,1.82233107,200000,0.013462,0.000100,0.216751,0.183736,yes
adaptive,22.06,1.82234199,258,0.000047,0.077842,0.216652,0.183725,yes
analytic,22.07,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.07,1.82234655,2007,0.000145,0.010000,0.217025,0.183720,yes
fixed_1e-03,22.07,1.82234651,20061,0.001402,0.001000,0.217041,0.183720,yes
fixed_1e-04,22.07,1.82234651,200000,0.013466,0.000100,0.217041,0.183720,yes
adaptive,22.07,1.82235808,258,0.000044,0.077837,0.216902,0.183709,yes
analytic,22.08,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.08,1.82236199,2007,0.000135,0.010000,0.217315,0.183705,yes
fixed_1e-03,22.08,1.82236194,20061,0.001348,0.001000,0.217332,0.183705,yes
fixed_1e-04,22.08,1.82236194,200000,0.013459,0.000100,0.217332,0.183705,yes
adaptive,22.08,1.82237413,257,0.000047,0.078172,0.217145,0.183693,yes
analytic,22.09,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.09,1.82237743,2007,0.000145,0.010000,0.217605,0.183689,yes
fixed_1e-03,22.09,1.82237739,20061,0.001378,0.001000,0.217623,0.183689,yes
fixed_1e-04,22.09,1.82237739,200000,0.013458,0.000100,0.217623,0.183689,yes
adaptive,22.09,1.82239014,257,0.000047,0.078160,0.217598,0.183677,yes
analytic,22.10,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.10,1.82239288,2007,0.000145,0.010000,0.217895,0.183674,yes
fixed_1e-03,22.10,1.82239284,20061,0.001384,0.001000,0.217914,0.183674,yes
fixed_1e-04,22.10,1.82239284,200000,0.013494,0.000100,0.217914,0.183674,yes
adaptive,22.10,1.82240611,257,0.000047,0.078154,0.217855,0.183661,yes
analytic,22.11,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.11,1.82240834,2007,0.000145,0.010000,0.218186,0.183658,yes
fixed_1e-03,22.11,1.82240830,20061,0.001419,0.001000,0.218206,0.183658,yes
fixed_1e-04,22.11,1.82240830,200000,0.013466,0.000100,0.218206,0.183658,yes
adaptive,22.11,1.82241434,257,0.000047,0.078147,0.218105,0.183652,yes
analytic,22.12,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.12,1.82242381,2007,0.000144,0.010000,0.218477,0.183643,yes
fixed_1e-03,22.12,1.82242377,20061,0.001435,0.001000,0.218497,0.183643,yes
fixed_1e-04,22.12,1.82242377,200000,0.013457,0.000100,0.218497,0.183643,yes
adaptive,22.12,1.82243085,256,0.000046,0.078486,0.218354,0.183636,yes
analytic,22.13,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.13,1.82243928,2007,0.000144,0.010000,0.218768,0.183627,yes
fixed_1e-03,22.13,1.82243924,20061,0.001389,0.001000,0.218789,0.183627,yes
fixed_1e-04,22.13,1.82243924,200000,0.013462,0.000100,0.218790,0.183627,yes
adaptive,22.13,1.82244735,256,0.000047,0.078479,0.218596,0.183619,yes
analytic,22.14,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.14,1.82245476,2007,0.000145,0.010000,0.219060,0.183612,yes
fixed_1e-03,22.14,1.82245472,20061,0.001395,0.001000,0.219082,0.183612,yes
fixed_1e-04,22.14,1.82245472,200000,0.013493,0.000100,0.219082,0.183612,yes
adaptive,22.14,1.82246378,256,0.000046,0.078472,0.218832,0.183603,yes
analytic,22.15,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.15,1.82247025,2007,0.000145,0.010000,0.219352,0.183596,yes
fixed_1e-03,22.15,1.82247021,20061,0.001400,0.001000,0.219374,0.183596,yes
fixed_1e-04,22.15,1.82247021,200000,0.013461,0.000100,0.219374,0.183596,yes
adaptive,22.15,1.82248015,256,0.000047,0.078461,0.219312,0.183587,yes
analytic,22.16,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.16,1.82248575,2007,0.000147,0.010000,0.219643,0.183581,yes
fixed_1e-03,22.16,1.82248571,20061,0.001401,0.001000,0.219667,0.183581,yes
fixed_1e-04,22.16,1.82248571,200000,0.013459,0.000100,0.219667,0.183581,yes
adaptive,22.16,1.82249646,256,0.000044,0.078455,0.219563,0.183570,yes
analytic,22.17,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.17,1.82250125,2007,0.000135,0.010000,0.219936,0.183565,yes
fixed_1e-03,22.17,1.82250121,20061,0.001348,0.001000,0.219960,0.183565,yes
fixed_1e-04,22.17,1.82250121,200000,0.013457,0.000100,0.219960,0.183565,yes
adaptive,22.17,1.82251271,255,0.000046,0.078795,0.219812,0.183554,yes
analytic,22.18,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.18,1.82251676,2007,0.000145,0.010000,0.220228,0.183550,yes
fixed_1e-03,22.18,1.82251672,20061,0.001414,0.001000,0.220253,0.183550,yes
fixed_1e-04,22.18,1.82251672,200000,0.013504,0.000100,0.220253,0.183550,yes
adaptive,22.18,1.82252890,255,0.000047,0.078788,0.220053,0.183538,yes
analytic,22.19,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.19,1.82253228,2007,0.000145,0.010000,0.220520,0.183534,yes
fixed_1e-03,22.19,1.82253224,20061,0.001379,0.001000,0.220547,0.183534,yes
fixed_1e-04,22.19,1.82253224,200000,0.013460,0.000100,0.220547,0.183534,yes
adaptive,22.19,1.82254873,256,0.000046,0.078440,0.219951,0.183518,yes
analytic,22.20,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.20,1.82254780,2007,0.000145,0.010000,0.220814,0.183519,yes
fixed_1e-03,22.20,1.82254776,20061,0.001419,0.001000,0.220841,0.183519,yes
fixed_1e-04,22.20,1.82254776,200000,0.013460,0.000100,0.220841,0.183519,yes
adaptive,22.20,1.82256440,256,0.000047,0.078434,0.220163,0.183502,yes
analytic,22.21,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.21,1.82256333,2007,0.000144,0.010000,0.221109,0.183503,yes
fixed_1e-03,22.21,1.82256329,20061,0.001389,0.001000,0.221135,0.183503,yes
fixed_1e-04,22.21,1.82256329,200000,0.013471,0.000100,0.221135,0.183503,yes
adaptive,22.21,1.82258007,256,0.000047,0.078427,0.220358,0.183487,yes
analytic,22.22,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.22,1.82257887,2007,0.000145,0.010000,0.221404,0.183488,yes
fixed_1e-03,22.22,1.82257883,20061,0.001424,0.001000,0.221429,0.183488,yes
fixed_1e-04,22.22,1.82257883,200000,0.013492,0.000100,0.221429,0.183488,yes
adaptive,22.22,1.82259571,257,0.000047,0.078084,0.220043,0.183471,yes
analytic,22.23,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.23,1.82259442,2007,0.000144,0.010000,0.221700,0.183472,yes
fixed_1e-03,22.23,1.82259438,20061,0.001424,0.001000,0.221723,0.183472,yes
fixed_1e-04,22.23,1.82259438,200000,0.013458,0.000100,0.221723,0.183472,yes
adaptive,22.23,1.82261010,258,0.000047,0.077774,0.220227,0.183457,yes
analytic,22.24,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.24,1.82260997,2007,0.000144,0.010000,0.221995,0.183457,yes
fixed_1e-03,22.24,1.82260993,20061,0.001396,0.001000,0.222018,0.183457,yes
fixed_1e-04,22.24,1.82260993,200000,0.013459,0.000100,0.222018,0.183457,yes
adaptive,22.24,1.82262534,260,0.000047,0.077447,0.220310,0.183441,yes
analytic,22.25,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.25,1.82262553,2007,0.000145,0.010000,0.222291,0.183441,yes
fixed_1e-03,22.25,1.82262549,20061,0.001395,0.001000,0.222313,0.183441,yes
fixed_1e-04,22.25,1.82262549,200000,0.013457,0.000100,0.222313,0.183441,yes
adaptive,22.25,1.82264057,261,0.000047,0.077110,0.221343,0.183426,yes
analytic,22.26,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.26,1.82264110,2007,0.000144,0.010000,0.222587,0.183426,yes
fixed_1e-03,22.26,1.82264106,20061,0.001406,0.001000,0.222608,0.183426,yes
fixed_1e-04,22.26,1.82264106,200000,0.013476,0.000100,0.222608,0.183426,yes
adaptive,22.26,1.82265578,256,0.000044,0.078398,0.221343,0.183411,yes
analytic,22.27,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.27,1.82265667,2007,0.000135,0.010000,0.222883,0.183410,yes
fixed_1e-03,22.27,1.82265664,20061,0.001348,0.001000,0.222904,0.183410,yes
fixed_1e-04,22.27,1.82265664,200000,0.013459,0.000100,0.222904,0.183410,yes
adaptive,22.27,1.82267261,255,0.000043,0.078731,0.222032,0.183394,yes
analytic,22.28,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.28,1.82267225,2007,0.000135,0.010000,0.223180,0.183394,yes
fixed_1e-03,22.28,1.82267222,20061,0.001362,0.001000,0.223200,0.183394,yes
fixed_1e-04,22.28,1.82267222,200000,0.013494,0.000100,0.223200,0.183394,yes
adaptive,22.28,1.82268844,257,0.000047,0.078079,0.221702,0.183378,yes
analytic,22.29,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.29,1.82268784,2007,0.000145,0.010000,0.223477,0.183379,yes
fixed_1e-03,22.29,1.82268781,20061,0.001416,0.001000,0.223496,0.183379,yes
fixed_1e-04,22.29,1.82268781,200000,0.013459,0.000100,0.223496,0.183379,yes
adaptive,22.29,1.82270423,257,0.000047,0.078072,0.221881,0.183362,yes
analytic,22.30,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.30,1.82270344,2007,0.000144,0.010000,0.223774,0.183363,yes
fixed_1e-03,22.30,1.82270341,20061,0.001419,0.001000,0.223792,0.183363,yes
fixed_1e-04,22.30,1.82270341,200000,0.013458,0.000100,0.223792,0.183363,yes
adaptive,22.30,1.82272000,255,0.000046,0.078713,0.222614,0.183347,yes
analytic,22.31,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.31,1.82271904,2007,0.000145,0.010000,0.224071,0.183348,yes
fixed_1e-03,22.31,1.82271901,20061,0.001397,0.001000,0.224089,0.183348,yes
fixed_1e-04,22.31,1.82271901,200000,0.013465,0.000100,0.224089,0.183348,yes
adaptive,22.31,1.82273573,255,0.000046,0.078707,0.222796,0.183331,yes
analytic,22.32,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.32,1.82273465,2007,0.000145,0.010000,0.224368,0.183332,yes
fixed_1e-03,22.32,1.82273462,20061,0.001392,0.001000,0.224385,0.183332,yes
fixed_1e-04,22.32,1.82273462,200000,0.013498,0.000100,0.224385,0.183332,yes
adaptive,22.32,1.82275145,256,0.000047,0.078391,0.222971,0.183315,yes
analytic,22.33,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.33,1.82275027,2007,0.000145,0.010000,0.224666,0.183316,yes
fixed_1e-03,22.33,1.82275024,20061,0.001393,0.001000,0.224682,0.183316,yes
fixed_1e-04,22.33,1.82275024,200000,0.013465,0.000100,0.224682,0.183316,yes
adaptive,22.33,1.82276595,257,0.000047,0.078047,0.222815,0.183301,yes
analytic,22.34,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.34,1.82276590,2007,0.000145,0.010000,0.224964,0.183301,yes
fixed_1e-03,22.34,1.82276587,20061,0.001431,0.001000,0.224980,0.183301,yes
fixed_1e-04,22.34,1.82276587,200000,0.013477,0.000100,0.224980,0.183301,yes
adaptive,22.34,1.82278124,256,0.000047,0.078378,0.223346,0.183285,yes
analytic,22.35,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.35,1.82278153,2007,0.000145,0.010000,0.225262,0.183285,yes
fixed_1e-03,22.35,1.82278150,20061,0.001399,0.001000,0.225277,0.183285,yes
fixed_1e-04,22.35,1.82278150,200000,0.013525,0.000100,0.225277,0.183285,yes
adaptive,22.35,1.82279652,256,0.000047,0.078372,0.223517,0.183270,yes
analytic,22.36,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.36,1.82279717,2007,0.000145,0.010000,0.225561,0.183270,yes
fixed_1e-03,22.36,1.82279714,20061,0.001399,0.001000,0.225575,0.183270,yes
fixed_1e-04,22.36,1.82279714,200000,0.013470,0.000100,0.225575,0.183270,yes
adaptive,22.36,1.82281178,256,0.000046,0.078365,0.223688,0.183255,yes
analytic,22.37,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.37,1.82281281,2007,0.000145,0.010000,0.225859,0.183254,yes
fixed_1e-03,22.37,1.82281279,20061,0.001431,0.001000,0.225873,0.183254,yes
fixed_1e-04,22.37,1.82281279,200000,0.013482,0.000100,0.225873,0.183254,yes
adaptive,22.37,1.82282702,256,0.000047,0.078360,0.223874,0.183240,yes
analytic,22.38,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.38,1.82282847,2007,0.000145,0.010000,0.226158,0.183238,yes
fixed_1e-03,22.38,1.82282844,20061,0.001398,0.001000,0.226171,0.183238,yes
fixed_1e-04,22.38,1.82282844,200000,0.013458,0.000100,0.226171,0.183238,yes
adaptive,22.38,1.82284225,256,0.000045,0.078353,0.224320,0.183224,yes
analytic,22.39,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.39,1.82284413,2007,0.000145,0.010000,0.226457,0.183223,yes
fixed_1e-03,22.39,1.82284410,20061,0.001437,0.001000,0.226470,0.183223,yes
fixed_1e-04,22.39,1.82284410,200000,0.013461,0.000100,0.226470,0.183223,yes
adaptive,22.39,1.82285746,258,0.000044,0.078017,0.225413,0.183209,yes
analytic,22.40,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.40,1.82285980,2007,0.000135,0.010000,0.226757,0.183207,yes
fixed_1e-03,22.40,1.82285977,20061,0.001349,0.001000,0.226768,0.183207,yes
fixed_1e-04,22.40,1.82285977,200000,0.013484,0.000100,0.226768,0.183207,yes
adaptive,22.40,1.82287267,258,0.000044,0.078009,0.225840,0.183194,yes
analytic,22.41,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.41,1.82287547,2007,0.000135,0.010000,0.227056,0.183191,yes
fixed_1e-03,22.41,1.82287545,20061,0.001350,0.001000,0.227067,0.183191,yes
fixed_1e-04,22.41,1.82287545,200000,0.013461,0.000100,0.227067,0.183191,yes
adaptive,22.41,1.82288787,258,0.000047,0.078002,0.226253,0.183179,yes
analytic,22.42,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.42,1.82289116,2007,0.000144,0.010000,0.227356,0.183176,yes
fixed_1e-03,22.42,1.82289114,20061,0.001386,0.001000,0.227367,0.183176,yes
fixed_1e-04,22.42,1.82289114,200000,0.013456,0.000100,0.227367,0.183176,yes
adaptive,22.42,1.82290306,258,0.000047,0.077995,0.226654,0.183164,yes
analytic,22.43,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.43,1.82290685,2007,0.000152,0.010000,0.227656,0.183160,yes
fixed_1e-03,22.43,1.82290683,20061,0.001391,0.001000,0.227666,0.183160,yes
fixed_1e-04,22.43,1.82290683,200000,0.013461,0.000100,0.227666,0.183160,yes
adaptive,22.43,1.82291825,258,0.000047,0.077989,0.227045,0.183148,yes
analytic,22.44,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.44,1.82292254,2007,0.000145,0.010000,0.227957,0.183144,yes
fixed_1e-03,22.44,1.82292252,20061,0.001431,0.001000,0.227966,0.183144,yes
fixed_1e-04,22.44,1.82292252,200000,0.013471,0.000100,0.227966,0.183144,yes
adaptive,22.44,1.82293344,258,0.000047,0.077982,0.227426,0.183133,yes
analytic,22.45,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.45,1.82293825,2007,0.000145,0.010000,0.228257,0.183128,yes
fixed_1e-03,22.45,1.82293823,20061,0.001398,0.001000,0.228266,0.183128,yes
fixed_1e-04,22.45,1.82293823,200000,0.013484,0.000100,0.228266,0.183128,yes
adaptive,22.45,1.82294863,258,0.000047,0.077976,0.227800,0.183118,yes
analytic,22.46,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.46,1.82295396,2007,0.000145,0.010000,0.228558,0.183113,yes
fixed_1e-03,22.46,1.82295394,20061,0.001432,0.001000,0.228566,0.183113,yes
fixed_1e-04,22.46,1.82295394,200000,0.013457,0.000100,0.228566,0.183113,yes
adaptive,22.46,1.82296381,258,0.000047,0.077971,0.228167,0.183103,yes
analytic,22.47,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.47,1.82296968,2007,0.000145,0.010000,0.228859,0.183097,yes
fixed_1e-03,22.47,1.82296966,20061,0.001399,0.001000,0.228867,0.183097,yes
fixed_1e-04,22.47,1.82296966,200000,0.013457,0.000100,0.228867,0.183097,yes
adaptive,22.47,1.82297900,259,0.000047,0.077630,0.228810,0.183088,yes
analytic,22.48,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.48,1.82298541,2007,0.000145,0.010000,0.229160,0.183081,yes
fixed_1e-03,22.48,1.82298539,20061,0.001401,0.001000,0.229167,0.183081,yes
fixed_1e-04,22.48,1.82298539,200000,0.013465,0.000100,0.229168,0.183081,yes
adaptive,22.48,1.82299419,259,0.000044,0.077624,0.229144,0.183072,yes
analytic,22.49,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.49,1.82300114,2007,0.000135,0.010000,0.229462,0.183066,yes
fixed_1e-03,22.49,1.82300113,20061,0.001349,0.001000,0.229468,0.183066,yes
fixed_1e-04,22.49,1.82300113,200000,0.013490,0.000100,0.229469,0.183066,yes
adaptive,22.49,1.82300939,259,0.000047,0.077617,0.229474,0.183057,yes
analytic,22.50,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.50,1.82301688,2007,0.000145,0.010000,0.229763,0.183050,yes
fixed_1e-03,22.50,1.82301687,20061,0.001424,0.001000,0.229770,0.183050,yes
fixed_1e-04,22.50,1.82301687,200000,0.013457,0.000100,0.229770,0.183050,yes
adaptive,22.50,1.82301798,259,0.000044,0.077611,0.229796,0.183049,yes
analytic,22.51,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.51,1.82303263,2007,0.000135,0.010000,0.230065,0.183034,yes
fixed_1e-03,22.51,1.82303262,20061,0.001349,0.001000,0.230071,0.183034,yes
fixed_1e-04,22.51,1.82303262,200000,0.013459,0.000100,0.230071,0.183034,yes
adaptive,22.51,1.82303307,259,0.000047,0.077604,0.230113,0.183034,yes
analytic,22.52,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.52,1.82304838,2007,0.000145,0.010000,0.230368,0.183018,yes
fixed_1e-03,22.52,1.82304837,20061,0.001388,0.001000,0.230373,0.183018,yes
fixed_1e-04,22.52,1.82304837,200000,0.013456,0.000100,0.230373,0.183018,yes
adaptive,22.52,1.82304819,259,0.000050,0.077598,0.230421,0.183018,yes
analytic,22.53,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.53,1.82306415,2007,0.000145,0.010000,0.230670,0.183003,yes
fixed_1e-03,22.53,1.82306414,20061,0.001394,0.001000,0.230675,0.183003,yes
fixed_1e-04,22.53,1.82306414,200000,0.013501,0.000100,0.230675,0.183003,yes
adaptive,22.53,1.82306333,259,0.000047,0.077592,0.230723,0.183003,yes
analytic,22.54,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.54,1.82307992,2007,0.000145,0.010000,0.230973,0.182987,yes
fixed_1e-03,22.54,1.82307991,20061,0.001429,0.001000,0.230977,0.182987,yes
fixed_1e-04,22.54,1.82307991,200000,0.013465,0.000100,0.230977,0.182987,yes
adaptive,22.54,1.82307849,259,0.000047,0.077586,0.231019,0.182988,yes
analytic,22.55,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.55,1.82309569,2007,0.000145,0.010000,0.231276,0.182971,yes
fixed_1e-03,22.55,1.82309569,20061,0.001431,0.001000,0.231280,0.182971,yes
fixed_1e-04,22.55,1.82309569,200000,0.013462,0.000100,0.231280,0.182971,yes
adaptive,22.55,1.82309369,259,0.000047,0.077586,0.231163,0.182973,yes
analytic,22.56,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,22.56,1.82311148,2007,0.000144,0.010000,0.231579,0.182955,yes
fixed_1e-03,22.56,1.82311147,20061,0.001399,0.001000,0.231583,0.182955,yes
