mode,theta0,period,steps,cpu_time,avg_dt,max_error,period_error,real_time
fixed_1e-02,0.14,1.80546067,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.14,1.80546069,20061,0.001358,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.14,1.80546069,200000,0.013446,0.000100,0.000000,0.200606,yes
adaptive,0.14,1.80599470,131,0.000023,0.153471,0.000016,0.200072,yes
analytic,0.15,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.15,1.80546077,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.15,1.80546079,20061,0.001345,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.15,1.80546079,200000,0.013439,0.000100,0.000000,0.200606,yes
adaptive,0.15,1.80552268,128,0.000023,0.157270,0.000017,0.200544,yes
analytic,0.16,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.16,1.80546088,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.16,1.80546089,20061,0.001348,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.16,1.80546089,200000,0.013460,0.000100,0.000000,0.200606,yes
adaptive,0.16,1.80591073,131,0.000023,0.153054,0.000017,0.200156,yes
analytic,0.17,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.17,1.80546099,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.17,1.80546101,20061,0.001349,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.17,1.80546101,200000,0.013450,0.000100,0.000000,0.200606,yes
adaptive,0.17,1.80544506,132,0.000023,0.151869,0.000018,0.200622,yes
analytic,0.18,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.18,1.80546111,2007,0.000135,0.010000,0.000000,0.200606,yes
fixed_1e-03,0.18,1.80546113,20061,0.001346,0.001000,0.000000,0.200606,yes
fixed_1e-04,0.18,1.80546113,200000,0.013534,0.000100,0.000000,0.200606,yes
adaptive,0.18,1.80582128,137,0.000023,0.146964,0.000017,0.200245,yes
analytic,0.19,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.19,1.80546124,2007,0.000135,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.19,1.80546125,20061,0.001348,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.19,1.80546125,200000,0.013438,0.000100,0.000000,0.200605,yes
adaptive,0.19,1.80539884,142,0.000025,0.141366,0.000017,0.200668,yes
analytic,0.20,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.20,1.80546137,2007,0.000135,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.20,1.80546139,20061,0.001369,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.20,1.80546139,200000,0.013427,0.000100,0.000000,0.200605,yes
adaptive,0.20,1.80550551,142,0.000025,0.141042,0.000018,0.200561,yes
analytic,0.21,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.21,1.80546151,2007,0.000135,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.21,1.80546153,20061,0.001348,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.21,1.80546153,200000,0.013481,0.000100,0.000000,0.200605,yes
adaptive,0.21,1.80557479,135,0.000024,0.148478,0.000020,0.200492,yes
analytic,0.22,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.22,1.80546166,2007,0.000136,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.22,1.80546168,20061,0.001353,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.22,1.80546168,200000,0.013478,0.000100,0.000000,0.200605,yes
adaptive,0.22,1.80552168,128,0.000022,0.156626,0.000022,0.200545,yes
analytic,0.23,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.23,1.80546182,2007,0.000134,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.23,1.80546183,20061,0.001348,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.23,1.80546183,200000,0.013478,0.000100,0.000000,0.200605,yes
adaptive,0.23,1.80547120,129,0.000022,0.156349,0.000021,0.200595,yes
analytic,0.24,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.24,1.80546198,2007,0.000135,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.24,1.80546199,20061,0.001348,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.24,1.80546199,200000,0.013450,0.000100,0.000000,0.200605,yes
adaptive,0.24,1.80582919,134,0.000024,0.149742,0.000020,0.200237,yes
analytic,0.25,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.25,1.80546215,2007,0.000135,0.010000,0.000000,0.200605,yes
fixed_1e-03,0.25,1.80546216,20061,0.001349,0.001000,0.000000,0.200605,yes
fixed_1e-04,0.25,1.80546216,200000,0.013452,0.000100,0.000000,0.200605,yes
adaptive,0.25,1.80561991,133,0.000023,0.151493,0.000021,0.200447,yes
analytic,0.26,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.26,1.80546232,2007,0.000135,0.010000,0.000000,0.200604,yes
fixed_1e-03,0.26,1.80546234,20061,0.001348,0.001000,0.000000,0.200604,yes
fixed_1e-04,0.26,1.80546234,200000,0.013454,0.000100,0.000000,0.200604,yes
adaptive,0.26,1.80570976,136,0.000023,0.148072,0.000020,0.200357,yes
analytic,0.27,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.27,1.80546250,2007,0.000135,0.010000,0.000000,0.200604,yes
fixed_1e-03,0.27,1.80546252,20061,0.001363,0.001000,0.000000,0.200604,yes
fixed_1e-04,0.27,1.80546252,200000,0.013436,0.000100,0.000000,0.200604,yes
adaptive,0.27,1.80571507,138,0.000024,0.146143,0.000021,0.200352,yes
analytic,0.28,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.28,1.80546269,2007,0.000135,0.010000,0.000000,0.200604,yes
fixed_1e-03,0.28,1.80546271,20061,0.001351,0.001000,0.000000,0.200604,yes
fixed_1e-04,0.28,1.80546271,200000,0.013474,0.000100,0.000000,0.200604,yes
adaptive,0.28,1.80542059,140,0.000026,0.144258,0.000021,0.200646,yes
analytic,0.29,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.29,1.80546289,2007,0.000135,0.010000,0.000000,0.200604,yes
fixed_1e-03,0.29,1.80546290,20061,0.001350,0.001000,0.000000,0.200604,yes
fixed_1e-04,0.29,1.80546290,200000,0.013453,0.000100,0.000000,0.200604,yes
adaptive,0.29,1.80554808,140,0.000025,0.143486,0.000021,0.200519,yes
analytic,0.30,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.30,1.80546309,2007,0.000135,0.010000,0.000001,0.200604,yes
fixed_1e-03,0.30,1.80546311,20061,0.001387,0.001000,0.000001,0.200604,yes
fixed_1e-04,0.30,1.80546311,200000,0.013443,0.000100,0.000001,0.200604,yes
adaptive,0.30,1.80578294,138,0.000024,0.146341,0.000022,0.200284,yes
analytic,0.31,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.31,1.80546330,2007,0.000135,0.010000,0.000001,0.200603,yes
fixed_1e-03,0.31,1.80546332,20061,0.001370,0.001000,0.000001,0.200603,yes
fixed_1e-04,0.31,1.80546332,200000,0.013453,0.000100,0.000001,0.200603,yes
adaptive,0.31,1.80541595,142,0.000025,0.142198,0.000022,0.200651,yes
analytic,0.32,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.32,1.80546352,2007,0.000135,0.010000,0.000001,0.200603,yes
fixed_1e-03,0.32,1.80546353,20061,0.001350,0.001000,0.000001,0.200603,yes
fixed_1e-04,0.32,1.80546353,200000,0.013435,0.000100,0.000001,0.200603,yes
adaptive,0.32,1.80545350,140,0.000024,0.143619,0.000022,0.200613,yes
analytic,0.33,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.33,1.80546374,2007,0.000135,0.010000,0.000001,0.200603,yes
fixed_1e-03,0.33,1.80546376,20061,0.001347,0.001000,0.000001,0.200603,yes
fixed_1e-04,0.33,1.80546376,200000,0.013519,0.000100,0.000001,0.200603,yes
adaptive,0.33,1.80575935,142,0.000024,0.141785,0.000022,0.200307,yes
analytic,0.34,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.34,1.80546397,2007,0.000134,0.010000,0.000001,0.200603,yes
fixed_1e-03,0.34,1.80546399,20061,0.001351,0.001000,0.000001,0.200603,yes
fixed_1e-04,0.34,1.80546399,200000,0.013437,0.000100,0.000001,0.200603,yes
adaptive,0.34,1.80549232,144,0.000025,0.140127,0.000022,0.200574,yes
analytic,0.35,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.35,1.80546421,2007,0.000135,0.010000,0.000001,0.200602,yes
fixed_1e-03,0.35,1.80546422,20061,0.001345,0.001000,0.000001,0.200602,yes
fixed_1e-04,0.35,1.80546422,200000,0.013477,0.000100,0.000001,0.200602,yes
adaptive,0.35,1.80551916,139,0.000023,0.145308,0.000023,0.200548,yes
analytic,0.36,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.36,1.80546445,2007,0.000135,0.010000,0.000001,0.200602,yes
fixed_1e-03,0.36,1.80546447,20061,0.001348,0.001000,0.000001,0.200602,yes
fixed_1e-04,0.36,1.80546447,200000,0.013465,0.000100,0.000001,0.200602,yes
adaptive,0.36,1.80571119,145,0.000025,0.139102,0.000023,0.200355,yes
analytic,0.37,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.37,1.80546470,2007,0.000135,0.010000,0.000001,0.200602,yes
fixed_1e-03,0.37,1.80546472,20061,0.001344,0.001000,0.000001,0.200602,yes
fixed_1e-04,0.37,1.80546472,200000,0.013455,0.000100,0.000001,0.200602,yes
adaptive,0.37,1.80571260,145,0.000025,0.138491,0.000023,0.200354,yes
analytic,0.38,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.38,1.80546496,2007,0.000135,0.010000,0.000001,0.200602,yes
fixed_1e-03,0.38,1.80546498,20061,0.001346,0.001000,0.000001,0.200602,yes
fixed_1e-04,0.38,1.80546498,200000,0.013435,0.000100,0.000001,0.200602,yes
adaptive,0.38,1.80565889,146,0.000026,0.138000,0.000023,0.200408,yes
analytic,0.39,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.39,1.80546523,2007,0.000135,0.010000,0.000001,0.200601,yes
fixed_1e-03,0.39,1.80546524,20061,0.001345,0.001000,0.000001,0.200601,yes
fixed_1e-04,0.39,1.80546524,200000,0.013481,0.000100,0.000001,0.200601,yes
adaptive,0.39,1.80543607,149,0.000043,0.135401,0.000023,0.200631,yes
analytic,0.40,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.40,1.80546550,2007,0.000135,0.010000,0.000001,0.200601,yes
fixed_1e-03,0.40,1.80546551,20061,0.001346,0.001000,0.000001,0.200601,yes
fixed_1e-04,0.40,1.80546551,200000,0.013442,0.000100,0.000001,0.200601,yes
adaptive,0.40,1.80545405,145,0.000025,0.139077,0.000024,0.200613,yes
analytic,0.41,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.41,1.80546578,2007,0.000134,0.010000,0.000001,0.200601,yes
fixed_1e-03,0.41,1.80546579,20061,0.001351,0.001000,0.000001,0.200601,yes
fixed_1e-04,0.41,1.80546579,200000,0.013472,0.000100,0.000001,0.200601,yes
adaptive,0.41,1.80572214,147,0.000025,0.136351,0.000023,0.200345,yes
analytic,0.42,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.42,1.80546606,2007,0.000135,0.010000,0.000002,0.200601,yes
fixed_1e-03,0.42,1.80546608,20061,0.001356,0.001000,0.000002,0.200601,yes
fixed_1e-04,0.42,1.80546608,200000,0.013468,0.000100,0.000002,0.200601,yes
adaptive,0.42,1.80541622,151,0.000026,0.132914,0.000023,0.200650,yes
analytic,0.43,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.43,1.80546635,2007,0.000134,0.010000,0.000002,0.200600,yes
fixed_1e-03,0.43,1.80546637,20061,0.001348,0.001000,0.000002,0.200600,yes
fixed_1e-04,0.43,1.80546637,200000,0.013483,0.000100,0.000002,0.200600,yes
adaptive,0.43,1.80539821,148,0.000025,0.135400,0.000024,0.200668,yes
analytic,0.44,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.44,1.80546665,2007,0.000135,0.010000,0.000002,0.200600,yes
fixed_1e-03,0.44,1.80546667,20061,0.001348,0.001000,0.000002,0.200600,yes
fixed_1e-04,0.44,1.80546667,200000,0.013504,0.000100,0.000002,0.200600,yes
adaptive,0.44,1.80560276,150,0.000026,0.133895,0.000024,0.200464,yes
analytic,0.45,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.45,1.80546696,2007,0.000134,0.010000,0.000002,0.200600,yes
fixed_1e-03,0.45,1.80546697,20061,0.001354,0.001000,0.000002,0.200600,yes
fixed_1e-04,0.45,1.80546697,200000,0.013497,0.000100,0.000002,0.200600,yes
adaptive,0.45,1.80570384,152,0.000031,0.132632,0.000024,0.200363,yes
analytic,0.46,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.46,1.80546727,2007,0.000135,0.010000,0.000002,0.200599,yes
fixed_1e-03,0.46,1.80546729,20061,0.001378,0.001000,0.000002,0.200599,yes
fixed_1e-04,0.46,1.80546729,200000,0.013476,0.000100,0.000002,0.200599,yes
adaptive,0.46,1.80570495,150,0.000027,0.134127,0.000025,0.200362,yes
analytic,0.47,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.47,1.80546759,2007,0.000134,0.010000,0.000002,0.200599,yes
fixed_1e-03,0.47,1.80546761,20061,0.001349,0.001000,0.000002,0.200599,yes
fixed_1e-04,0.47,1.80546761,200000,0.013447,0.000100,0.000002,0.200599,yes
adaptive,0.47,1.80538890,152,0.000027,0.132780,0.000025,0.200678,yes
analytic,0.48,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.48,1.80546792,2007,0.000135,0.010000,0.000002,0.200599,yes
fixed_1e-03,0.48,1.80546793,20061,0.001345,0.001000,0.000002,0.200599,yes
fixed_1e-04,0.48,1.80546793,200000,0.013492,0.000100,0.000002,0.200599,yes
adaptive,0.48,1.80555085,155,0.000027,0.129372,0.000024,0.200516,yes
analytic,0.49,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.49,1.80546825,2007,0.000135,0.010000,0.000002,0.200598,yes
fixed_1e-03,0.49,1.80546827,20061,0.001357,0.001000,0.000002,0.200598,yes
fixed_1e-04,0.49,1.80546827,200000,0.013524,0.000100,0.000002,0.200598,yes
adaptive,0.49,1.80568838,155,0.000027,0.130053,0.000025,0.200378,yes
analytic,0.50,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.50,1.80546859,2007,0.000139,0.010000,0.000003,0.200598,yes
fixed_1e-03,0.50,1.80546861,20061,0.001389,0.001000,0.000003,0.200598,yes
fixed_1e-04,0.50,1.80546861,200000,0.013569,0.000100,0.000003,0.200598,yes
adaptive,0.50,1.80567837,159,0.000027,0.126927,0.000024,0.200388,yes
analytic,0.51,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.51,1.80546894,2007,0.000135,0.010000,0.000003,0.200598,yes
fixed_1e-03,0.51,1.80546895,20061,0.001353,0.001000,0.000003,0.200598,yes
fixed_1e-04,0.51,1.80546895,200000,0.013569,0.000100,0.000003,0.200598,yes
adaptive,0.51,1.80556579,164,0.000029,0.123003,0.000024,0.200501,yes
analytic,0.52,2.00606668,0,0,0.0,0.0,0.0,yes
fixed_1e-02,0.52,1.80546929,2007,0.000136,0.010000,0.000003,0.200597,yes
fixed_1e-03,0.52,1.80546931,20061,0.001348,0.001000,0.000003,0.200597,yes
fixed_1e-04,0.52,1.80546931,200000,0.013505,0.000100,0.000003,0.200597,yes
